url,status,title,titleLen,desc,descLen,canonical,robots,ogTitle,ogImage,h1Count,h1
https://www.rentatexhibit.com/,200,Luxury Apartments in River North Chicago | Exhibit On Superior,62,"Luxury apartments in River North Chicago — studio, convertible, 1, 2 &amp; 3-bedroom homes with skyline views, resort amenities, and on-site retail and dining.",159,https://www.rentatexhibit.com/,"index, follow, max-image-preview:large",yes,yes,1,Luxury Apartments
https://www.rentatexhibit.com/available-units,200,"Available Apartments, Live Pricing | Exhibit On Superior Chicago",64,"Browse available apartments at Exhibit On Superior in River North Chicago — live pricing, photos, and move-in dates for studio to 3 bedroom residences.",151,https://www.rentatexhibit.com/available-units,"index, follow, max-image-preview:large",yes,yes,1,Available Units
https://www.rentatexhibit.com/floor-plans,200,"Floor Plan Layouts, Studio to 3 Bedroom | Exhibit On Superior",61,"Every distinct floor-plan layout at Exhibit On Superior in River North Chicago — plan sheets, square footage, floor ranges, balconies, and live availability.",157,https://www.rentatexhibit.com/floor-plans,"index, follow, max-image-preview:large",yes,yes,1,Every Floor Plan Layout in the Tower
https://www.rentatexhibit.com/photo-gallery,200,Photo Gallery | Exhibit On Superior Chicago Apartments,54,"View apartment, amenity, skyline, and community photos of Exhibit On Superior, a luxury high-rise at 165 W Superior St in Chicago&#39;s River North neighborhood",161,https://www.rentatexhibit.com/photo-gallery,"index, follow, max-image-preview:large",yes,yes,1,Of City Living
https://www.rentatexhibit.com/virtual-tour,200,Virtual Tours | Exhibit On Superior Apartments Chicago,54,Take a virtual tour of Exhibit On Superior apartments and amenities in River North Chicago with video walkthroughs and an interactive Matterport 3D tour.,153,https://www.rentatexhibit.com/virtual-tour,"index, follow, max-image-preview:large",yes,yes,1,Here
https://www.rentatexhibit.com/amenities,200,Amenities | Exhibit On Superior River North Apartments,54,"Explore Exhibit On Superior amenities, including a full-floor amenity deck, fitness center, pool, lounges, work areas, dog spa, and on-site lifestyle retail.",157,https://www.rentatexhibit.com/amenities,"index, follow, max-image-preview:large",yes,yes,1,Your Urban Playground
https://www.rentatexhibit.com/pet-friendly,200,Pet-Friendly Apartments in River North | Exhibit On Superior,60,"Pet-friendly apartments in River North Chicago at Exhibit On Superior — cats and dogs welcome, dog spa, outdoor walk, no weight limits, no monthly pet rent.",156,https://www.rentatexhibit.com/pet-friendly,"index, follow, max-image-preview:large",yes,yes,1,Say Hello to Pet-Friendly Living In Chicago
https://www.rentatexhibit.com/neighborhood,200,River North Neighborhood | Exhibit On Superior Chicago,54,"Explore the River North location around Exhibit On Superior, close to dining, cafes, shopping, parks, the Chicago River, West Loop, Old Town, and Fulton Market.",160,https://www.rentatexhibit.com/neighborhood,"index, follow, max-image-preview:large",yes,yes,1,The Best of River North
https://www.rentatexhibit.com/apartment-guide,200,"Apartment Guide: Layouts, Finishes &amp; Views | Exhibit On Superior",68,"A complete guide to Exhibit On Superior apartments — studio, convertible, 1, 2 &amp; 3 bedroom layouts, finishes, in-home laundry, balconies, and skyline views.",160,https://www.rentatexhibit.com/apartment-guide,"index, follow, max-image-preview:large",yes,yes,1,The Exhibit Apartment Guide
https://www.rentatexhibit.com/fees,200,"Fees, Utilities &amp; Leasing Costs | Exhibit On Superior Chicago",65,"What it costs to lease at Exhibit On Superior in River North Chicago — application fees, the monthly utility bundle, plus parking, storage, and other charges.",158,https://www.rentatexhibit.com/fees,"index, follow, max-image-preview:large",yes,yes,1,Fees &amp; Leasing Costs
https://www.rentatexhibit.com/parking-transportation,200,Parking &amp; Transportation | Exhibit On Superior River North,62,"Getting around from Exhibit On Superior at 165 W Superior St — CTA Brown, Purple &amp; Red Lines, bus routes, highway access, and on-site parking for residents.",160,https://www.rentatexhibit.com/parking-transportation,"index, follow, max-image-preview:large",yes,yes,1,Parking &amp; Transportation
https://www.rentatexhibit.com/application-guide,200,Application &amp; Qualification Guide | Exhibit On Superior,59,"How to apply for an apartment at Exhibit On Superior — the online application process, what to have ready, plus screening, guarantor, and lease-term details.",157,https://www.rentatexhibit.com/application-guide,"index, follow, max-image-preview:large",yes,yes,1,Application &amp; Qualification Guide
https://www.rentatexhibit.com/faq,200,Frequently Asked Questions | Exhibit On Superior Chicago,56,"Answers to common questions about Exhibit On Superior in River North Chicago — pricing and fees, amenities, pets, the neighborhood, touring, and applying.",154,https://www.rentatexhibit.com/faq,"index, follow, max-image-preview:large",yes,yes,1,Frequently Asked Questions
https://www.rentatexhibit.com/knowledge,200,Knowledge Center: Renter Questions Answered | Exhibit On Superior,65,"Find answers to every leasing question about Exhibit On Superior — apartments, fees, pets, parking, utilities, and the River North Chicago neighborhood.",152,https://www.rentatexhibit.com/knowledge,"index, follow, max-image-preview:large",yes,yes,1,"Every Question, Answered With Facts"
